# CMUdict fallback pronunciations converted from ARPAbet
a	IX
foxworth	f'AAksw"ERTH
foxworthy	f'AAksw"ERDHIY
foxworthy's	f'AAksw"ERDHIYz
foxx	f'AAks
foxy	f'AAksIY
foy	f'OY
foye	f'OY
foyer	f'OYER
foyle	f'OYLX
foyt	f'OYt
fraas	fr'AAz
frable	fr'EYbIXLX
fracas	fr'EYkIXs
frace	fr'EYs
fractal	fr'AEktIXLX
fraction	fr'AEkSHIXn
fractional	fr'AEkSHIXnIXLX
fractionally	fr'AEkSHIXnIXlIY
fractions	fr'AEkSHIXnz
fractious	fr'AEkSHIXs
fractiousness	fr'AEkSHIXsnIXs
fracture	fr'AEktSHER
fractured	fr'AEktSHERd
fractures	fr'AEktSHERz
fracturing	fr'AEktSHERIHNG
fradette	frIXd'EHt
fradkin	fr'AEdkIHn
frady	fr'EYdIY
fraga	fr'AAgIX
fragale	frAAg'AAlIY
frager	fr'EYgER
fragile	fr'AEdZHIXLX
fragility	frIXdZH'IHlIXtIY
fragment	fr'AEgmIXnt
fragmentary	fr'AEgmIXnt"EHrIY
fragmentation	fr"AEgmIXnt'EYSHIXn
fragmented	fr'AEgmIXntIHd
fragmenting	fr'AEgmIXntIHNG
fragments	fr'AEgmIXnts
frago	fr'EYgOW
fragonard	fr'AEgIXnERd
fragoso	frAAg'OWsOW
fragrance	fr'EYgrIXns
fragrances	fr'EYgrIXnsIXz
fragrant	fr'EYgrIXnt
fraher	fr'AAER
frahm	fr'AEm
frail	fr'EYLX
frailey	fr'EYlIY
frailties	fr'EYLXtIYz
frailty	fr'EYLXtIY
fraim	fr'EYm
frain	fr'EYn
fraine	fr'EYn
fraioli	frAY'OWlIY
fraire	fr'EHr
fraiser	fr'EYZHER
fraizer	fr'EYZHER
fraker	fr'EYkER
frakes	fr'EYks
fraleigh	fr'EYlIY
fraley	fr'EYlIY
fralick	fr'AElIHk
fralin	fr'AElIHn
fralix	fr'AElIHks
fram	fr'AEm
framatome	fr'AEmIXt"OWm
frame	fr'EYm
framed	fr'EYmd
framer	fr'EYmER
framers	fr'EYmERz
frames	fr'EYmz
framework	fr'EYmw"ERk
frameworks	fr'EYmw"ERks
framing	fr'EYmIHNG
framingham	fr'EYmIHNGh"AEm
frampton	fr'AEmptIXn
fran	fr'AEn
frana	fr'AEnIX
franc	fr'AENGk
franc's	fr'AENGks
franca	fr'AENGkIX
francais	frAAns'EY
francaise	frAAns'EHz
francaises	frAAns'EHz
francavilla	frAAnkAAv'IHlIX
france	fr'AEns
france's	fr'AEnsIHz
francek	fr'AEntSH"EHk
frances	fr'AEnsIHs
francesca	frAEntSH'EHskIX
franceschi	frAAntSH'EHskIY
franceschini	frAAntSHEHsk'IYnIY
francesco	frAEntSH'EHskOW
francesco's	frAEntSH'EHskOWz
francesconi	frAAntSHEHsk'OWnIY
francese	frAAntSH'EYzIY
francesmary	fr"AEnsIXsm'EHrIY
franchi	fr'AAnkIY
franchik	fr'AEntSHIHk
franchini	frAAnk'IYnIY
franchino	frAAnk'IYnOW
franchise	fr'AEntSH"AYz
franchise's	fr'AEntSH"AYzIHz
franchised	fr'AEntSHAYzd
franchisee	fr'AEntSH"AYz'IY
franchisees	fr"AEntSHAYz'IYz
franchiser	fr'AEntSH"AYzER
franchisers	fr'AEntSH"AYzERz
franchises	fr'AEntSH"AYzIHz
franchising	fr'AEntSHAYzIHNG
franchot	fr'AEnkIXt
francia	fr'AAntSHIX
francie	fr'AENGkIY
francies	frIXns'IYz
francine	frAEns'IYn
francine's	frAEns'IYnz
francines	frAEns'IYnz
francis	fr'AEnsIXs
franciscan	frAEns'IHskIXn
franciscans	frAEns'IHskIXnz
francisco	frAEns'IHskOW
francisco's	frAEns'IHskOWz
franciso	frAEns'IYsOW
francisville	fr'AEnsIHsv"IHLX
franck	fr'AENGk
francke	fr'AENGk
francklin	fr'AENGklIHn
francklyn	fr'AENGklIHn
franckowiak	frIXnsk'AWIYAEk
franco	fr'AENGkOW
franco's	fr'AENGkOWz
francoeur	frIXnk'ER
francois	frAAnsw'AA
francoise	frAEnsw'AAz
francom	fr'AENGkAAm
francophile	fr'AENGkIXf"AYLX
francophone	fr'AENGkIXf"OWn
francorp	fr'AEnk"OWrp
francs	fr'AENGks
francy	fr'AEnsIY
francyne	fr'AEns"AYn
franczak	fr'AEntSHAEk
frandsen	fr'AEndsIXn
frane	fr'EYn
franek	fr'AEnIHk
franey	fr'EYnIY
frangos	fr'AENGgOWz
franjo	fr'AEndZHOW
frank	fr'AENGk
frank's	fr'AENGks
franke	fr'AENGk
franked	fr'AENGkt
frankel	fr'AENGkIXLX
franken	fr'AENGkIXn
frankenberg	fr'AENGkIXnbERg
frankenberger	fr'AENGkIXnbERgER
frankenberry	fr'AENGkIXnb"EHrIY
frankenfield	fr'AENGkIXnf"IYLXd
frankenfood	fr'AENGkIXnf"UWd
frankenheimer	fr'AENGkIXnh"AYmER
frankenstein	fr'AENGkIXnst"AYn
frankenstein's	fr'AENGkIXnst"AYnz
frankfort	fr'AENGkfERt
frankfort's	fr'AENGkfERts
frankfurt	fr'AENGkfERt
frankfurt's	fr'AENGkfERts
frankfurter	fr'AENGkfERtER
frankfurters	fr'AENGkfERtERz
frankhouser	fr'AENGkh"AWsER
frankie	fr'AENGkIY
frankiewicz	fr'AEnkIXvIHtSH
frankincense	fr'AENGkIXns"EHns
franking	fr'AENGkIHNG
frankino	frAENGk'IYnOW
frankish	fr'AENGkIHSH
frankl	fr'AENGkIXLX
frankland	fr'AENGklIXnd
franklin	fr'AENGklIHn
franklin's	fr'AENGklIXnz
franklinite	fr'AENGklIHn"AYt
franklinville	fr'AENGklIHnvIHLX
frankly	fr'AENGklIY
franklyn	fr'AENGklIHn
frankness	fr'AENGknIXs
franko	fr'AENGkOW
frankovich	fr'AENGkIXvIHtSH
frankowski	frIXNGk'AAfskIY
franks	fr'AENGks
frankson	fr'AENGksIXn
frankum	fr'AENGkIXm
frannie	fr'AEnIY
franny	fr'AEnIY
frano	fr'AAnOW
frans	fr'AEnz
fransen	fr'AEnsIXn
franson	fr'AEnsIXn
franssen	fr'AEnsIXn
franta	fr'AEntIX
frantic	fr'AEntIHk
frantically	fr'AEntIXkIXlIY
frantom	fr'AEntIXm
frantz	fr'AEnts
frantzen	fr'AEntzIXn
franyo	fr'AAnyOW
franz	fr'AEnz
franze	fr'AEnz
franzel	fr'AEnzIXLX
franzen	fr'AEnzIXn
franzese	frAAnz'EYzIY
franzone	frAAnz'OWnIY
franzoni	frAAnz'OWnIY
frap	fr'AEp
fraph	fr'AEf
fraph's	fr'AEfs
frappier	fr'AEpIYER
frary	fr'EHrIY
frasca	fr'AAskIX
frascella	frAAstSH'EHlIX
frasch	fr'AESH
frasco	fr'AAskOW
frase	fr'EYz
fraser	fr'EYzER
fraser's	fr'EYzERz
frasher	fr'AESHER
frashier	fr'EYZHyER
frasier	fr'EYZHER
frasier's	fr'EYZHERz
frasure	fr'AAZHER
fratangelo	frAAtAANGg'EHlOW
frate	fr'EYt
frater	fr'EYtER
fraternal	frIXt'ERnIXLX
fraternities	frIXt'ERnIXtIYz
fraternity	frIXt'ERnIXtIY
fraternize	fr'AEtERn"AYz
fraternizing	fr'AEtERn"AYzIHNG
frates	fr'EYts
fratricide	fr'AEtrIXs"AYd
fratricides	fr'AEtrIXs"AYdz
fratus	fr'AEtIHs
fratzke	fr'AEtsk
frau	fr'AW
fraud	fr'AAd
frauds	fr'AAdz
fraudster	fr'AAdstER
fraudster's	fr'AAdstERz
fraudsters	fr'AAdstERz
fraudulent	fr'AAdZHIXlIXnt
fraudulently	fr'AAdUWlIXntlIY
fraught	fr'AAt
fraum	fr'AWm
frausto	fr'AAstOW
fravel	fr'AEvIXLX
frawley	fr'AAlIY
fray	fr'EY
frayed	fr'EYd
frayer	fr'EYER
fraying	fr'EYIHNG
frayn	fr'EYn
frayne	fr'EYn
fraze	fr'EYz
frazee	frIXz'IY
frazer	fr'EYzER
frazier	fr'EYZHER
frazzano	frIXz'AAnOW
frazzini	frAAts'IYnIY
frazzle	fr'AEzIXLX
frazzled	fr'AEzIXLXd
fread	fr'EHd
freak	fr'IYk
freaked	fr'IYkt
freaking	fr'IYkIHNG
freaks	fr'IYks
freakshow	fr'IYksh"OW
freaky	fr'IYkIY
frean	fr'IYn
frear	fr'IHr
frears	fr'IYrz
freas	fr'IYz
frease	fr'IYz
freberg	fr'IYbERg
frech	fr'EHk
frechette	frIHSH'EHt
freck	fr'EHk
freckle	fr'EHkIXLX
freckled	fr'EHkIXLXd
freckles	fr'EHkIXLXz
fred	fr'EHd
fred's	fr'EHdz
freda	fr'EHd
freddie	fr'EHdIY
freddy	fr'EHdIY
freddy's	fr'EHdIYz
freddye	fr'EHdIY
frede	fr'IYd
fredell	fr'EHdIXLX
fredella	frEHd'EHlIX
fredenburg	fr'IYdIXnbERg
frederic	fr'EHdrIHk
frederica	fr"EHdER'IYkIX
frederick	fr'EHdrIHk
frederick's	fr'EHdrIHks
fredericka	frEYdEHr'IYkIX
fredericks	fr'EHdrIHks
fredericksburg	fr'EHdrIHksbERg
fredericksen	fr'EHdERIHksIXn
frederickson	fr'EHdERIHksIXn
frederico	frEHdER'IYkOW
frederika	frEYdEHr'IYkIX
frederiksen	fr'EHdERIHksIXn
frederking	fr'EHdERk"IHNG
fredette	frIHd'EHt
frediani	frEHdIY'AAnIY
fredin	fr'EHdIHn
fredkin	fr'EHdkIHn
fredlund	fr'EHdlIXnd
fredman	fr'EHdmIXn
fredo	fr'IYdOW
fredric	fr'EHdrIHk
fredrich	fr'EHdrIHk
fredrick	fr'EHdrIHk
fredricks	fr'EHdrIHks
fredricksen	fr'EHdrIHksIXn
fredrickson	fr'EHdrIHksIXn
fredriksen	frIHdr'IHksIXn
fredrikson	fr'EHdrIHksIXn
free	fr'IY
freeberg	fr'IYbERg
freeberg's	fr'IYbERgz
freebie	fr'IYbIY
freebies	fr'IYbIYz
freeborn	fr'IYbERn
freeburg	fr'IYbERg
freeburn	fr'IYb"ERn
freed	fr'IYd
freed's	fr'IYdz
freedenberg	fr'IYd"EHnbERg
freedenberg's	fr'IYd"EHnbERgz
freedland	fr'IYdlIXnd
freedle	fr'IYdIXLX
freedman	fr'IYdmIXn
freedman's	fr'IYdmIXnz
freedom	fr'IYdIXm
freedom's	fr'IYdIXmz
freedoms	fr'IYdIXmz
freefall	fr'IYf"AALX
freeform	fr'IYf"OWrm
freeh	fr'IY
freeh's	fr'IYz
freehand	fr'IYh"AEnd
freehling	fr'IYlIHNG
freehoff	fr'IYhAAf
freehoff's	fr'IYhAAfs
freehold	fr'IYh"OWLXd
freeholder	fr'IYh"OWLXdER
freeholders	fr'IYh"OWLXdERz
freeing	fr'IYIHNG
freel	fr'IYLX
freelance	fr'IYl"AEns
freelancer	fr'IYl"AEnsER
freelancers	fr'IYl"AEnsERz
freelancing	fr'IYl"AEnsIHNG
freeland	fr'IYlIXnd
freeloader	fr'IYl"OWdER
freeloaders	fr'IYl"OWdERz
freelove	fr'IYl"AHv
freels	fr'IYLXz
freely	fr'IYlIY
freeman	fr'IYmIXn
freeman's	fr'IYmIXnz
freemans	fr'IYmIXnz
freemason	fr'IYm'EYsIXn
freemasonry	fr'IYm'EYsIXnrIY
freemen	fr'IYmEHn
freemen's	fr'IYmEHnz
freemon	fr'IYmIXn
freemont	fr'IYm"AAnt
freemyer	fr'IYmIYER
freen	fr'IYn
freeney	fr'IYnIY
freeny	fr'IYnIY
freeport	fr'IYp"OWrt
freeport's	fr'IYp"OWrts
freer	fr'IYER
frees	fr'IYz
freese	fr'IYz
freest	fr'IYIHst
freestanding	fr'IYst"AEndIHNG
freestone	fr'IYst"OWn
freestyle	fr'IYst"AYLX
freet	fr'IYt
freethinker	fr'IYTH'IHNGkER
freethinkers	fr'IYTH'IHNGkERz
freetown	fr'IYt"AWn
freeware	fr'IYw"EHr
freeway	fr'IYw"EY
freeways	fr'IYw"EYz
freewheeling	fr'IYw"IYlIHNG
freewing	fr'IYwIHNG
freeze	fr'IYz
freezer	fr'IYzER
freezers	fr'IYzERz
freezes	fr'IYzIHz
freezing	fr'IYzIHNG
fregeau	frIHZH'OW
fregia	fr'IYdZHIYIX
fregoso	frEHg'OWsOW
frei	fr'AY
freia	fr'IYIX
freiberg	fr'AYbERg
freiberger	fr'AYbERgER
freiburger	fr'AYbERgER
freid	fr'IYd
freidan	fr'IYdIXn
freidel	fr'AYdIXLX
freidman	fr'AYdmIXn
freidy	fr'IYdIY
freidy's	fr'IYdIYz
freier	fr'EYER
freiermuth	fr'AYERmUWTH
freight	fr'EYt
freighter	fr'EYtER
freighters	fr'EYtERz
freightliner	fr'EYtl"AYnER
freightway	fr'EYtw"EY
freightways	fr'EYtw"EYz
freiheit	fr'AYh"AYt
freije	fr'IYdZH
freilich	fr'AYlIHk
freiman	fr'AYmIXn
freimark	fr'AYmAArk
freimuth	fr'AYmUWTH
frein	fr'EYn
freind	fr'AYnd
freire	fr'IHr
freis	fr'IYz
freise	fr'IYs
freitag	fr'AYtIXg
freitas	fr'AYtIXz
freiwald	fr'AYw"AALXd
frel	fr'EHLX
frelimo	fr'EHlIHm"OW
frels	fr'EHLXz
fremd	fr'EHmd
fremd's	fr'EHmdz
fremiet	fr'EHmyEY
fremin	fr'EHmIHn
fremitus	fr'EHmIXtIXs
fremont	fr'IYmAAnt
french	fr'EHntSH
french's	fr'EHntSHIHz
frenchman	fr'EHntSHmAEn
frenchmen	fr'EHntSHmEHn
frenetic	frIXn'EHtIHk
frenette	frIHn'EHt
freni	fr'EHnIY
frenkel	fr'EHNGkIXLX
frentz	fr'EHnts
frenulum	fr'EHnyIXlIXm
frenz	fr'EHnz
frenzel	fr'EHnzIXLX
frenzied	fr'EHnzIYd
frenzies	fr'EHnzIYz
frenzy	fr'EHnzIY
freon	fr'IYAAn
freons	fr'IYAAnz
frequencies	fr'IYkwIXnsIYz
frequency	fr'IYkwIXnsIY
frequent	fr'IYkwIXnt
frequented	fr'IYkwIXntIHd
frequenting	fr'IYkwIXntIHNG
frequently	fr'IYkwIXntlIY
frequents	fr'IYkwIXnts
frere	fr'EHr
freres	fr'EHrz
frerichs	fr'EHrIHks
frericks	fr'EHrIHks
frerika	fr'EHrIHkIX
frerking	fr'ERkIHNG
fresco	fr'EHskOW
fresco's	fr'EHskOWz
frescoed	fr'EHskOWd
frescoes	fr'EHskOWz
frese	fr'IYz
fresenius	frIXs'IYnIYIXs
fresh	fr'EHSH
freshbake	fr'EHSHb"EYk
freshbake's	fr'EHSHb"EYks
freshen	fr'EHSHIXn
freshened	fr'EHSHIXnd
freshener	fr'EHSHIXnER
fresheners	fr'EHSHIXnERz
freshening	fr'EHSHIXnIHNG
freshens	fr'EHSHIXnz
fresher	fr'EHSHER
freshest	fr'EHSHIXst
freshkill	fr'EHSHk"IHLX
freshkills	fr'EHSHk"IHLXz
freshley	fr'EHSHlIY
freshly	fr'EHSHlIY
freshman	fr'EHSHmIXn
freshmen	fr'EHSHmIHn
freshness	fr'EHSHnIXs
freshour	fr'EHsAWr
freshwater	fr'EHSHw"AAtER
fresno	fr'EHznOW
fresno's	fr'EHznOWz
fresquez	frEYskw'EHz
freston	fr'EHstIXn
fret	fr'EHt
fretful	fr'EHtfIXLX
frets	fr'EHts
frett	fr'EHt
fretted	fr'EHtIHd
fretter	fr'EHtER
fretting	fr'EHtIHNG
fretwell	fr'EHtw"EHLX
fretz	fr'EHts
freud	fr'OYd
freud's	fr'OYdz
freudenberg	fr'OYdIXnbERg
freudenthal	fr'OYdIHnTHIXLX
freudian	fr'UWdIYIXn
freund	fr'UWnd
freundlich	fr'OYndlIHk
frevert	fr'EHvERt
frew	fr'UW
frewen	fr'UWIXn
frewin	fr'UWIHn
frey	fr'EY
frey's	fr'EYz
freya	fr'EYIX
freyer	fr'EYER
freyermuth	f'ERAYrmUWTH
freyman	fr'EYmIXn
freymiller	fr'EYm"IHlER
freyne	fr'EYn
freyre	fr'EHr
freytag	fr'EYtIXg
frezza	fr'EHzIX
friar	fr'AYER
friars	fr'AYERz
friary	fr'AYERIY
frias	fr'IYIXz
friberg	fr'AYbERg
fribourg	fr'AYb"OWrg
fricano	frIYk'AAnOW
frick	fr'IHk
fricke	fr'IHk
fricker	fr'IHkER
frickey	fr'IHkIY
fricking	fr'IHkIHNG
fricks	fr'IHks
friction	fr'IHkSHIXn
frictionless	fr'IHkSHIXnlIXs
frictions	fr'IHkSHIXnz
frida	fr'IYdIX
friday	fr'AYdIY
friday's	fr'AYdIYz
fridays	fr'AYdIYz
friddle	fr'IHdIXLX
fridge	fr'IHdZH
fridges	fr'IHdZHIXz
fridley	fr'IHdlIY
fridman	fr'IHdmIXn
fridolf	fr'IHdOWLXf
fridovich	fr'IHdIXvIHtSH
fridrich	fr'IHdrIHk
fridson	fr'IHdsIXn
frie	fr'AY
friebel	fr'IYbIXLX
fried	fr'AYd
frieda	fr'IYdIX
friedan	fr'IYdIXn
friedberg	fr'AYdbERg
friede	fr'IYd
friedel	fr'IYdIXLX
frieden	fr'IYdIXn
friedenberg	fr'IYdIXnbERg
frieder	fr'AYdER
friederich	fr'IYdERIHk
friederike	fr'IYdERIHk
friedhelm	fr'IYdh"EHLXm
friedhoff	fr'IYdh"AAf
friedl	fr'IYdIXLX
friedland	fr'IYdlIXnd
friedlander	fr'IYdlIXndER
friedley	fr'IYdlIY
friedli	fr'IYdl"IY
friedline	fr'IYdl"AYn
friedly	fr'IYdlIY
friedman	fr'IYdmIXn
friedman's	fr'IYdmIXnz
friedmann	fr'IYdmIXn
friedrich	fr'IYdrIHk
friedrichs	fr'IYdrIHks
friedrichsen	fr'IYdrIHksIXn
friedrick	fr'IYdrIHk
friedsam	fr'IYds"AEm
friedson	fr'IYdsIXn
friedt	fr'IYdt
friel	fr'IYLX
frieling	fr'IYlIHNG
frieman	fr'IYmIXn
friend	fr'EHnd
friend's	fr'EHndz
friendlier	fr'EHndlIYER
friendliest	fr'EHndlIYIXst
friendliness	fr'EHndlIYnIHs
friendly	fr'EHndlIY
friendly's	fr'EHndlIYz
friends	fr'EHndz
friendship	fr'EHndSHIHp
friendships	fr'EHndSHIHps
frier	fr'AYER
frierson	fr'IHrsIXn
fries	fr'AYz
friese	fr'IYz
friesen	fr'IYsIXn
friesenhahn	fr'IYsIHnhIXn
friesner	fr'IYsnER
frieson	fr'IYzIXn
friess	fr'IYs
friesz	fr'IYSH
frieze	fr'IYz
friezes	fr'IYzIHz
frig	fr'IHg
frigate	fr'IHgIXt
frigate's	fr'IHgIXts
frigates	fr'IHgIXts
frigging	fr'IHgIHNG
fright	fr'AYt
frighten	fr'AYtIXn
frightened	fr'AYtIXnd
frightening	fr'AYtIXnIHNG
frighteningly	fr'AYtIXnIHNGlIY
frightens	fr'AYtIXnz
frightful	fr'AYtfIXLX
frightfully	fr'AYtfIXlIY
frigid	fr'IHdZHIXd
frigo	fr'IYgOW
frigon	fr'IHgIXn
frigs	fr'IHgz
friis	fr'IYz
frikkie	fr'IHkIY
fril	fr'IHLX
friley	fr'IHlIY
frill	fr'IHLX
frills	fr'IHLXz
frilly	fr'IHlIY
fringe	fr'IHndZH
fringer	fr'IHndZHER
fringes	fr'IHndZHIHz
frink	fr'IHNGk
friona	frIY'OWnIX
frisa	fr'IYzIX
frisbee	fr'IHsbIY
frisbie	fr'IHsbIY
frisby	fr'IHsbIY
frisch	fr'IHSH
friscia	fr'IYstSHIX
frisco	fr'IYskOW
frisella	frIHs'EHlIX
frishman	fr'IHSHmIXn
frisina	frIYs'IYnIX
frisinger	fr'IHsIHndZHER
frisk	fr'IHsk
friske	fr'IHsk
frisked	fr'IHskt
friskin	fr'IHskIHn
frisky	fr'IHskIY
frison	fr'IHsIXn
frist	fr'IHst
fristoe	fr'IHstOW
fritch	fr'IHtSH
fritcher	fr'IHtSHER
fritchman	fr'IHtSHmIXn
frites	fr'IYts
frith	fr'IHTH
frito	fr'IYtOW
fritos	fr'IYtOWz
frits	fr'IHts
fritsch	fr'IHtSH
fritsche	fr'IHtSH
fritter	fr'IHtER
frittered	fr'IHtERd
frittering	fr'IHtERIHNG
fritts	fr'IHts
fritz	fr'IHts
fritze	fr'IHtz
fritzen	fr'IHtzIXn
fritzi	fr'IYtzIY
fritzie	fr'IHtzIY
fritzinger	fr'IHtzIHNGER
fritzler	fr'IHtslER
fritzsche	fr'IHtzSH
frivolity	frIXv'AAlIXtIY
frivolous	fr'IHvIXlIXs
frivolously	fr'IHvIXlIXslIY
frix	fr'IHks
frizell	fr'IHzIXLX
frizz	fr'IHz
frizzell	fr'IHzIXLX
frizzle	fr'IHzIXLX
frizzled	fr'IHzIXLXd
fro	fr'OW
froberg	fr'OWbERg
frock	fr'AAk
frocks	fr'AAks
froder	fr'OWdER
frodo	fr'OWd"OW
froedge	fr'OWdZH
froehlich	fr'OWlIHk
froelich	fr'OWlIHk
froemming	fr'OWmIHNG
froese	fr'OWs
frog	fr'AAg
frog's	fr'AAgz
frogg	fr'AAg
frogge	fr'AAg
frogman	fr'AAgm"AEn
frogmen	fr'AAgmIHn
frogmouth	fr'AAgm"AWTH
frogmouths	fr'AAgm"AWTHs
frogs	fr'AAgz
froh	fr'OW
frohlich	fr'OWlIHk
frohman	fr'OWmIXn
frohn	fr'AAn
frohnmayer	fr'AAnm"AYER
froio	fr'OWIYOW
frolic	fr'AAlIHk
frolicking	fr'AAlIHkIHNG
frolo	fr'OWlOW
from	fr'AHm
froman	fr'OWmIXn
frombuger	fr'OWmby"UWgER
frombuger's	fr'OWmby"UWgERz
frome	fr'OWm
fromer	fr'OWmER
fromm	fr'AAm
fromme	fr'AAm
frommelt	fr'AAmIHLXt
frommer	fr'AAmER
fromstein	fr'AAmst"IYn
fronczak	fr'AAntSHAEk
frond	fr'AAnd
fronde	fr'AAnd
fronds	fr'AAndz
fronek	fr'OWnIHk
froning	fr'OWnIHNG
fronk	fr'AANGk
front	fr'AHnt
front's	fr'AHnts
frontage	fr'AHntIHdZH
frontal	fr'AHntIXLX
fronted	fr'AHntIHd
frontera	frOWnt'EHrIX
fronterhouse	fr'AHntERh"AWs
frontier	frIXnt'IHr
frontier's	frIXnt'IHrz
frontiere	frAAnty'EHr
frontieres	frAAnty'EHrz
frontiers	frIXnt'IHrz
fronting	fr'AHntIHNG
frontline	fr'AHntl"AYn
frontline's	fr'AHntl"AYnz
frontrunner	fr'AHntr"AHnER
frontrunners	fr'AHntr"AHnERz
fronts	fr'AHnts
frontz	fr'AAnts
frosch	fr'AASH
fross	fr'AAs
frost	fr'AAst
frostban	fr'AAstb"AEn
frostbite	fr'AAstb"AYt
frostbitten	fr'AAstb"IHtIXn
frosted	fr'AAstIXd
frosting	fr'AAstIHNG
frostings	fr'AAstIHNGz
frosts	fr'AAsts
frosty	fr'AAstIY
froth	fr'AATH
frothiness	fr'AATHIYnIHs
frothingham	fr'AATHIHNGh"AEm
froths	fr'AATHs
frothy	fr'AATHIY
frown	fr'AWn
frowned	fr'AWnd
frownfelter	fr'AWnf"EHLXtER
frowning	fr'AWnIHNG
frowningly	fr'AWnIHNGlIY
frowns	fr'AWnz
froylan	fr'OYlIXn
froze	fr'OWz
frozen	fr'OWzIXn
frucher	fr'UWkER
fruchey	fr'AHtSHIY
fruchter	fr'AHktER
fruchtman	fr'AHktmIXn
fructose	fr'AHkt"OWs
frueh	fr'UW
fruehauf	fr'UWh"AAf
fruehling	fr'UWlIHNG
frugal	fr'UWgIXLX
frugality	frUWg'AElIXtIY
frugally	fr'UWgIXlIY
fruge	fr'UWdZH
fruin	fr'UWIHn
fruit	fr'UWt
fruitcake	fr'UWtk"EYk
fruitcakes	fr'UWtk"EYks
fruitful	fr'UWtfIXLX
fruiting	fr'UWtIHNG
fruition	frUW'IHSHIXn
fruitless	fr'UWtlIXs
fruitlessly	fr'UWtlIXslIY
fruitopia	fr"UWt'OWpIYIX
fruits	fr'UWts
fruity	fr'UWtIY
frum	fr'AHm
frumkin	fr'AHmkIHn
frump	fr'AHmp
frumpy	fr'AHmpIY
frunze	fr'AHnz
frusen	fr'UWzIXn
frush	fr'AHSH
frustrate	fr'AHstr"EYt
frustrated	fr'AHstr"EYtIXd
frustrates	fr'AHstr"EYts
frustrating	fr'AHstr"EYtIHNG
frustratingly	fr'AHstr"EYtIHNGlIY
frustration	frIXstr'EYSHIXn
frustrations	frIXstr'EYSHIXnz
frutchey	fr'AHtSHIY
fruth	fr'UWTH
frutiger	fr'AHtIHgER
fry	fr'AY
fry's	fr'AYz
fryar	fr'AYER
fryberger	fr'AYbERgER
frye	fr'AY
fryer	fr'AYER
fryers	fr'AYERz
frying	fr'AYIHNG
fryling	fr'AYlIHNG
fryman	fr'AYmIXn
frymire	frIHm'AYr
fryrear	fr'AYr"IHr
frysinger	fr'IHsIHndZHER
fs	fs
fsi	fs'IY
fthenakis	fTHEHn'AAkIHs
ftp	"EHft"IYp'IY
fu	f'UW
fua	f'UWIX
fucci	f'UWtSHIY
fuchs	fy'UWks
fuchsias	fy'UWSHIXz
fuck	f'AHk
fuck's	f'AHks
fucked	f'AHkt
fucker	f'AHkER
fuckers	f'AHkERz
fuckin	f'AHkIHn
fucking	f'AHkIHNG
fucks	f'AHks
fudala	fUWd'AAlIX
fuddle	f'UHdIXLX
fuddles	f'UHdIXLXz
fuddrucker	f'AHdrIXkER
fuddruckers	f'AHdrIXkERz
fuddy	f'AHdIY
fudge	f'AHdZH
fudged	f'AHdZHd
fudging	f'AHdZHIHNG
fudgy	f'AHdZHIY
fudo	fy'UWdOW
fudosan	fy'UWdIXsAAn
fuel	fy'UWIXLX
fuel's	fy'UWIXLXz
fueled	fy'UWIXLXd
fueling	fy'UWlIHNG
fuelled	fy'UWIXLXd
fuelling	fy'UWlIHNG
fuels	fy'UWIXLXz
fuente	fw'EHnt"EY
fuentes	fw'EHnt"EYz
fuentez	fw'EHnt"EYz
fuer	fy'UWr
fuerst	fw'EHrst
fuerstenberg	f'UHrstIXnbERg
fuerth	fw'ERTH
fugard	fy'UWg"AArd
fugate	f'AHgEYt
fugazy	fy'UWgIXzIY
fuge	fy'UWdZH
fugere	fy'UWgER
fugett	fy'UWdZHIHt
fugitive	fy'UWdZHIXtIHv
fugitives	fy'UWdZHIHtIHvz
fugitt	fy'UWdZHIHt
fugotsten	fy'UWgAAtstEHn
fugue	fy'UWg
fugues	fy'UWgz
fuhr	f'UHr
fuhrer	f'UHrER
fuhrman	f'UHrmIXn
fuhrman's	f'UHrmIXnz
fuhrmann	f'UHrmIXn
fuhrmann's	f'UHrmIXnz
fuhrmans	f'UHrmIXnz
fuhs	f'AHs
fuji	f'UWdZHIY
fuji's	f'UWdZHIYz
fujian	f"UWdZH'IYIXn
fujii	fUWdZH'IYIY
fujikawa	f"UWdZHIYk'AAwIX
fujikura	f"UWdZHIHk'UWrIX
fujimori	f"UWdZHIYm'OWrIY
fujimori's	f"UWdZHIYm'OWrIYz
fujimoto	f"UWdZHIYm'OWtOW
fujio	f'UWdZHIYOW
fujioka	f"UWdZHIY'OWkIX
fujis	fy'UWdZHIHs
fujisankei	f"UWdZHIHs'AANGkEY
fujisawa	f"UWdZHIHs'AAwIX
fujita	fUWdZH'IYtIX
fujitsu	fUWdZH'IHtsUW
fujitsu's	fUWdZH'IHtsUWz
fujiwara	fUWdZHIYw'AArIX
fujiya	fUWdZH'IYyIX
fujiyama	f"UWdZHIYy'AAmIX
fuke	f'UWk
fuklah	f'UWklIX
fuklah's	f'UWklIXz
fukowoka	f"UWkOWw'AAkIX
fukuda	fUWk'UWdIX
fukui	fUWk'UWIY
fukumoto	fUWkUWm'OWtOW
fukunaga	fUWkUWn'AAgIX
fukuoka	f"UWk"UW'OWkIX
fukushima	fUWkUWSH'IYmIX
